Sno,Accession ID,Description

1,NZ_CP053364.1,"Klebsiella pneumoniae strain BA2275 chromosome, complete genome."

2,NZ_CP076008.1,"Klebsiella pneumoniae subsp. pneumoniae strain WGR351 chromosome, complete genome."

3,CP076008.1,"Klebsiella pneumoniae subsp. pneumoniae strain WGR351 chromosome, complete genome."

4,NZ_CP075890.1,"Klebsiella pneumoniae strain GR390 chromosome, complete genome."

5,CP075890.1,"Klebsiella pneumoniae strain GR390 chromosome, complete genome."

6,NZ_CP074580.1,"Klebsiella pneumoniae strain B30155 chromosome, complete genome."

7,CP074580.1,"Klebsiella pneumoniae strain B30155 chromosome, complete genome."

8,NZ_CP058940.1,"Klebsiella pneumoniae strain BA39649 chromosome, complete genome."

9,CP058940.1,"Klebsiella pneumoniae strain BA39649 chromosome, complete genome."

10,NZ_CP072403.1,"Klebsiella pneumoniae strain B13243 chromosome, complete genome."

11,NZ_CP072413.1,"Klebsiella pneumoniae strain B32278 chromosome, complete genome."

12,NZ_CP072408.1,"Klebsiella pneumoniae strain B4650 chromosome, complete genome."

13,NZ_CP072422.1,"Klebsiella pneumoniae strain B33769 chromosome, complete genome."

14,CP072403.1,"Klebsiella pneumoniae strain B13243 chromosome, complete genome."

15,CP072413.1,"Klebsiella pneumoniae strain B32278 chromosome, complete genome."

16,CP072408.1,"Klebsiella pneumoniae strain B4650 chromosome, complete genome."

17,CP072422.1,"Klebsiella pneumoniae strain B33769 chromosome, complete genome."

18,NZ_CP036327.1,"Klebsiella pneumoniae strain BA28434 chromosome, complete genome."

19,NZ_CP036320.1,"Klebsiella pneumoniae strain VBA2172 chromosome, complete genome."

20,NZ_CP036335.1,"Klebsiella pneumoniae strain BP327 chromosome, complete genome."

21,NZ_CP036190.1,"Klebsiella pneumoniae strain BA34918 chromosome, complete genome."

22,NZ_CP036187.1,"Klebsiella pneumoniae strain BA1559 chromosome, complete genome."

23,NZ_CP070459.1,"Klebsiella pneumoniae strain B28484 chromosome, complete genome."

24,NZ_CP070435.1,"Klebsiella pneumoniae strain B5617 chromosome, complete genome."

25,NZ_CP070410.1,"Klebsiella pneumoniae strain B960 chromosome, complete genome."

26,NZ_CP070464.1,"Klebsiella pneumoniae strain B28906 chromosome, complete genome."

27,NZ_CP070445.1,"Klebsiella pneumoniae strain B12097 chromosome, complete genome."

28,NZ_CP070440.1,"Klebsiella quasipneumoniae strain B9067 chromosome, complete genome."

29,NZ_CP070415.1,"Klebsiella pneumoniae strain B1347 chromosome, complete genome."

30,NZ_CP070449.1,"Klebsiella pneumoniae strain B18064 chromosome, complete genome."

31,NZ_CP070425.1,"Klebsiella pneumoniae strain B3824 chromosome, complete genome."

32,NZ_CP070420.1,"Klebsiella quasipneumoniae strain B2663 chromosome, complete genome."

33,NZ_CP070454.1,"Klebsiella quasipneumoniae strain B25110 chromosome, complete genome."

34,NZ_CP070430.1,"Klebsiella pneumoniae strain B3923 chromosome, complete genome."

35,CP070459.1,"Klebsiella pneumoniae strain B28484 chromosome, complete genome."

36,CP070464.1,"Klebsiella pneumoniae strain B28906 chromosome, complete genome."

37,CP070440.1,"Klebsiella quasipneumoniae strain B9067 chromosome, complete genome."

38,CP070420.1,"Klebsiella quasipneumoniae strain B2663 chromosome, complete genome."

39,CP070425.1,"Klebsiella pneumoniae strain B3824 chromosome, complete genome."

40,CP070454.1,"Klebsiella quasipneumoniae strain B25110 chromosome, complete genome."

41,CP070435.1,"Klebsiella pneumoniae strain B5617 chromosome, complete genome."

42,CP070430.1,"Klebsiella pneumoniae strain B3923 chromosome, complete genome."

43,CP070415.1,"Klebsiella pneumoniae strain B1347 chromosome, complete genome."

44,CP070449.1,"Klebsiella pneumoniae strain B18064 chromosome, complete genome."

45,CP070445.1,"Klebsiella pneumoniae strain B12097 chromosome, complete genome."

46,CP070410.1,"Klebsiella pneumoniae strain B960 chromosome, complete genome."

47,NZ_CP037927.1,"Klebsiella pneumoniae strain CRKP I chromosome, complete genome."

48,CP064820.1,"Klebsiella pneumoniae subsp. pneumoniae strain K219 chromosome, complete genome."

49,NZ_CP054170.1,"Klebsiella pneumoniae strain BA12818 chromosome, complete genome."

50,NZ_CP060421.1,"Klebsiella pneumoniae strain BA2105 chromosome, complete genome."

51,CP060421.1,"Klebsiella pneumoniae strain BA2105 chromosome, complete genome."

52,CP054170.1,"Klebsiella pneumoniae strain BA12818 chromosome, complete genome."

53,CP058798.1,"Klebsiella pneumoniae strain BA27935 chromosome, complete genome."

54,NZ_CP053771.1,"Klebsiella pneumoniae strain BP3636 chromosome, complete genome."

55,NZ_CP053765.1,"Klebsiella pneumoniae strain BA10835 chromosome, complete genome."

56,CP053771.1,"Klebsiella pneumoniae strain BP3636 chromosome, complete genome."

57,CP053765.1,"Klebsiella pneumoniae strain BA10835 chromosome, complete genome."

58,CP053364.1,"Klebsiella pneumoniae strain BA2275 chromosome, complete genome."

