Sno,Accession ID,Description
,,
1,NZ_VINI01000004.1,"Klebsiella pneumoniae strain EN5275 4, whole genome shotgun sequence."
,,
2,NZ_VINI01000003.1,"Klebsiella pneumoniae strain EN5275 3, whole genome shotgun sequence."
,,
3,NZ_VINI01000002.1,"Klebsiella pneumoniae strain EN5275 2, whole genome shotgun sequence."
,,
4,NZ_VINI01000001.1,"Klebsiella pneumoniae strain EN5275 1, whole genome shotgun sequence."
,,
5,NZ_JAAGUA010000007.1,"Klebsiella pneumoniae strain EN5338 contig00007, whole genome shotgun sequence."
,,
6,NZ_JAAGUA010000006.1,"Klebsiella pneumoniae strain EN5338 contig00006, whole genome shotgun sequence."
,,
7,NZ_JAAGUA010000005.1,"Klebsiella pneumoniae strain EN5338 contig00005, whole genome shotgun sequence."
,,
8,NZ_JAAGUA010000004.1,"Klebsiella pneumoniae strain EN5338 contig00004, whole genome shotgun sequence."
,,
9,NZ_JAAGUA010000003.1,"Klebsiella pneumoniae strain EN5338 contig00003, whole genome shotgun sequence."
,,
10,NZ_JAAGUA010000002.1,"Klebsiella pneumoniae strain EN5338 contig00002, whole genome shotgun sequence."
,,
11,NZ_JAAGUA010000001.1,"Klebsiella pneumoniae strain EN5338 contig00001, whole genome shotgun sequence."
,,
12,NZ_JAGIZF010000007.1,"Klebsiella pneumoniae strain CIFT_K10 contig00007, whole genome shotgun sequence."
,,
13,NZ_JAGIZF010000006.1,"Klebsiella pneumoniae strain CIFT_K10 contig00006, whole genome shotgun sequence."
,,
14,NZ_JAGIZF010000005.1,"Klebsiella pneumoniae strain CIFT_K10 contig00005, whole genome shotgun sequence."
,,
15,NZ_JAGIZF010000004.1,"Klebsiella pneumoniae strain CIFT_K10 contig00004, whole genome shotgun sequence."
,,
16,NZ_JAGIZF010000003.1,"Klebsiella pneumoniae strain CIFT_K10 contig00003, whole genome shotgun sequence."
,,
17,NZ_JAGIZF010000002.1,"Klebsiella pneumoniae strain CIFT_K10 contig00002, whole genome shotgun sequence."
,,
18,NZ_JAGIZC010000005.1,"Klebsiella pneumoniae strain CIFT_K6 contig00005, whole genome shotgun sequence."
,,
19,NZ_JAGIZC010000004.1,"Klebsiella pneumoniae strain CIFT_K6 contig00004, whole genome shotgun sequence."
,,
20,NZ_JAGIZC010000003.1,"Klebsiella pneumoniae strain CIFT_K6 contig00003, whole genome shotgun sequence."
,,
21,NZ_JAGIZC010000002.1,"Klebsiella pneumoniae strain CIFT_K6 contig00002, whole genome shotgun sequence."
,,
22,NZ_JAGIZC010000001.1,"Klebsiella pneumoniae strain CIFT_K6 contig00001, whole genome shotgun sequence."
,,
23,NZ_JAGIZD010000007.1,"Klebsiella pneumoniae strain CIFT_K7 contig00007, whole genome shotgun sequence."
,,
24,NZ_JAGIZD010000006.1,"Klebsiella pneumoniae strain CIFT_K7 contig00006, whole genome shotgun sequence."
,,
25,NZ_JAGIZD010000005.1,"Klebsiella pneumoniae strain CIFT_K7 contig00005, whole genome shotgun sequence."
,,
26,NZ_JAGIZD010000004.1,"Klebsiella pneumoniae strain CIFT_K7 contig00004, whole genome shotgun sequence."
,,
27,NZ_JAGIZD010000003.1,"Klebsiella pneumoniae strain CIFT_K7 contig00003, whole genome shotgun sequence."
,,
28,NZ_JAGIZD010000002.1,"Klebsiella pneumoniae strain CIFT_K7 contig00002, whole genome shotgun sequence."
,,
29,NZ_JAGIZD010000001.1,"Klebsiella pneumoniae strain CIFT_K7 contig00001, whole genome shotgun sequence."
,,
30,NZ_JAGIZE010000006.1,"Klebsiella pneumoniae strain CIFT_K8 contig00006, whole genome shotgun sequence."
,,
31,NZ_JAGIZE010000005.1,"Klebsiella pneumoniae strain CIFT_K8 contig00005, whole genome shotgun sequence."
,,
32,NZ_JAGIZE010000004.1,"Klebsiella pneumoniae strain CIFT_K8 contig00004, whole genome shotgun sequence."
,,
33,NZ_JAGIZE010000003.1,"Klebsiella pneumoniae strain CIFT_K8 contig00003, whole genome shotgun sequence."
,,
